"icd_code","icd_name","yll_cause","yll_cause_name","cause_outline","GUC","male","female","yll_amin","yll_amax"
"00846","Intestinal infection due to other anaerobes","diarrhea_other","Other diarrheal diseases","A.03.01.15","A.03.01","1","1",0,200
"00847","Intestinal infection due to other gram-negative bacteria","diarrhea_other","Other diarrheal diseases","A.03.01.15","A.03.01","1","1",0,200
"00849","Intestinal infection due to other organisms","diarrhea_other","Other diarrheal diseases","A.03.01.15","A.03.01","1","1",0,200
"0085","Bacterial enteritis, unspecified","diarrhea_other","Other diarrheal diseases","A.03.01.15","A.03.01","1","1",0,200
"0086","Enteritis due to specified virus","diarrhea_other","Other diarrheal diseases","A.03.01.15","A.03.01","1","1",0,200
"00861","Enteritis due to rotavirus","diarrhea_rotavirus","Rotaviral enteritis","A.03.01.09","A.03.01","1","1",0,200
"00862","Enteritis due to adenovirus","diarrhea_adenovirus","Adenovirus","A.03.01.13","A.03.01","1","1",0,200
"00863","Enteritis due to norwalk virus","diarrhea_norovirus","Norovirus","A.03.01.12","A.03.01","1","1",0,200
"00864","Enteritis due to other small round viruses [SRV's]","diarrhea_other","Other diarrheal diseases","A.03.01.15","A.03.01","1","1",0,200
"00865","Enteritis due to calicivirus","diarrhea_other","Other diarrheal diseases","A.03.01.15","A.03.01","1","1",0,200
"00866","Enteritis due to astrovirus","diarrhea_other","Other diarrheal diseases","A.03.01.15","A.03.01","1","1",0,200
"00867","Enteritis due to enterovirus nec","diarrhea_other","Other diarrheal diseases","A.03.01.15","A.03.01","1","1",0,200
"00869","Enteritis due to other viral enteritis","diarrhea_other","Other diarrheal diseases","A.03.01.15","A.03.01","1","1",0,200
"0087","","diarrhea_other","Other diarrheal diseases","A.03.01.15","A.03.01","1","1",0,200
"0088","Intestinal infection due to other organism, not elsewhere classified","diarrhea_other","Other diarrheal diseases","A.03.01.15","A.03.01","1","1",0,200
"0089","","diarrhea_other","Other diarrheal diseases","A.03.01.15","A.03.01","1","1",0,200
"009","Ill-defined intestinal infections","diarrhea_other","Other diarrheal diseases","A.03.01.15","A.03.01","1","1",0,200
"0090","Infectious colitis, enteritis, and gastroenteritis","diarrhea_other","Other diarrheal diseases","A.03.01.15","A.03.01","1","1",0,200
"0091","Colitis, enteritis, and gastroenteritis of presumed infectious origin","diarrhea_other","Other diarrheal diseases","A.03.01.15","A.03.01","1","1",0,200
"0092","Infectious diarrhea","diarrhea_other","Other diarrheal diseases","A.03.01.15","A.03.01","1","1",0,200
"0093","Diarrhea of presumed infectious origin","diarrhea_other","Other diarrheal diseases","A.03.01.15","A.03.01","1","1",0,200
"0094","","diarrhea_other","Other diarrheal diseases","A.03.01.15","A.03.01","1","1",0,200
"0095","","diarrhea_other","Other diarrheal diseases","A.03.01.15","A.03.01","1","1",0,200
"0096","","diarrhea_other","Other diarrheal diseases","A.03.01.15","A.03.01","1","1",0,200
"0097","","diarrhea_other","Other diarrheal diseases","A.03.01.15","A.03.01","1","1",0,200
"0098","","diarrhea_other","Other diarrheal diseases","A.03.01.15","A.03.01","1","1",0,200
"0099","","diarrhea_other","Other diarrheal diseases","A.03.01.15","A.03.01","1","1",0,200
"010","Primary tuberculous infection","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"0100","Primary tuberculous complex","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"01000","Primary tuberculous infection, unspecified","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"01001","Primary tuberculous infection, bacteriological or histological examination not done","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"01002","Primary tuberculous infection, bacteriological or histological examination unknown (at present)","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"01003","Primary tuberculous infection, tubercle bacilli found (in sputum) by microscopy","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"01004","Primary tuberculous infection, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"01005","Primary tuberculous infection, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"01006","Primary tuberculous infection, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"01009","Unspecified","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"0101","Tuberculous pleurisy in primary progressive tuberculosis","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"01010","Primary tuberculous infection unspecified","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"01011","Primary tuberculous infection bacteriological or histological examination not done","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"01012","Primary tuberculous infection bacteriological or histological examination unknown (at present)","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"01013","Primary tuberculous infection tubercle bacilli found (in sputum) by microscopy","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"01014","Primary tuberculous infection tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"01015","Primary tuberculous infection tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"01016","Primary tuberculous infection tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"01019","Unspecified","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"0102","Primary tuberculous complex bacteriological or histological examination results unknown (at present)","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"0103","Primary tuberculous complex tubercle bacilli found (in sputum) by microscopy","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"0104","Primary tuberculous complex tubercle bacilli not found (in sputum) by microscopy but found by bacterial culture","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"0105","Primary tuberculous complex tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"0106","Primary tuberculous complex tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods inoculation of animals)","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"0108","Other primary progressive tuberculosis","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"01080","Primary tuberculous infection unspecified","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"01081","Primary tuberculous infection bacteriological or histological examination not done","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"01082","Primary tuberculous infection bacteriological or histological examination unknown (at present)","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"01083","Primary tuberculous infection tubercle bacilli found (in sputum) by microscopy","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"01084","Primary tuberculous infection tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"01085","Primary tuberculous infection tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"01086","Primary tuberculous infection tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"01089","Unspecified","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"0109","Primary tuberculous infection unspecified type","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"01090","Primary tuberculous infection, unspecified, unspecified","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"01091","Primary tuberculous infection, unspecified, bacteriological or histological examination not done","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"01092","Primary tuberculous infection, unspecified, bacteriological or histological examination unknown (at present)","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"01093","Primary tuberculous infection, unspecified, tubercle bacilli found (in sputum) by microscopy","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"01094","Primary tuberculous infection, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"01095","Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"01096","Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"01099","Unspecified","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"011","Pulmonary tuberculosis","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"0110","Tuberculosis of lung infiltrative","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"01100","Tuberculosis of lung, infiltrative, unspecified","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"01101","Tuberculosis of lung, infiltrative, bacteriological or histological examination not done","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"01102","Tuberculosis of lung, infiltrative, bacteriological or histological examination unknown (at present)","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"01103","Tuberculosis of lung, infiltrative, tubercle bacilli found (in sputum) by microscopy","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"01104","Tuberculosis of lung, infiltrative, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"01105","Tuberculosis of lung, infiltrative, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"01106","Tuberculosis of lung, infiltrative, tubercle bacilli not found bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"01109","Unspecified","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"0111","Tuberculosis of lung nodular","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"01110","Tuberculosis of lung, nodular, unspecified","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"01111","Tuberculosis of lung, nodular, bacteriological or histological examination not done","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"01112","Tuberculosis of lung, nodular, bacteriological or histological examination unknown (at present)","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"01113","Tuberculosis of lung, nodular, tubercle bacilli found (in sputum) by microscopy","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"01114","Tuberculosis of lung, nodular, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"01115","Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"01116","Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"01119","Unspecified","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"0112","Tuberculosis of lung with cavitation","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"01120","Pulmonary tuberculosis unspecified","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"01121","Pulmonary tuberculosis bacteriological or histological examination not done","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"01122","Pulmonary tuberculosis bacteriological or histological examination unknown (at present)","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"01123","Pulmonary tuberculosis tubercle bacilli found (in sputum) by microscopy","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"01124","Pulmonary tuberculosis tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"01125","Pulmonary tuberculosis tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"01126","Pulmonary tuberculosis tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"01129","Unspecified","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"0113","Tuberculosis of bronchus","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"01130","Pulmonary tuberculosis unspecified","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"01131","Pulmonary tuberculosis bacteriological or histological examination not done","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"01132","Pulmonary tuberculosis bacteriological or histological examination unknown (at present)","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"01133","Pulmonary tuberculosis tubercle bacilli found (in sputum) by microscopy","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"01134","Pulmonary tuberculosis tubercle bacilli not found (in sputum) by microscopy, but found in bacterial culture","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"01135","Pulmonary tuberculosis tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"01136","Pulmonary tuberculosis tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"01139","Unspecified","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"0114","Tuberculous fibrosis of lung","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
"01140","Pulmonary tuberculosis unspecified","tb_other","Drug-susceptible tuberculosis","A.02.01.02","A.02.01","1","1",0.0767123287671233,200
