icd_code,icd_name,pathogen_a_cause_code,pathogen_a_cause_name,nonfatal_a_cause_name,nonfatal_cause_name,cause_outline
0051,Botulism food poisoning,diarrhea_foodborne_path_botulism$,foodborne diarrhea due to botulism,diarrhea_foodborne,"Infectious, diarrhea (foodborne)",A.03.01.14
0052,Food poisoning due to Clostridium perfringens (C. welchii),diarrhea_foodborne_path_clostridium$,foodborne diarrhea due to clostridium perfringens intoxication,diarrhea_foodborne,"Infectious, diarrhea (foodborne)",A.03.01.14
0053,Food poisoning due to other Clostridia,diarrhea_foodborne_path_clostridium$,foodborne diarrhea due to clostridium perfringens intoxication,diarrhea_foodborne,"Infectious, diarrhea (foodborne)",A.03.01.14
0054,Food poisoning due to Vibrio parahaemolyticus,diarrhea_foodborne_path_haemolytic$,foodborne diarrhea due to vibrio parahaemolyticus intoxication,diarrhea_foodborne,"Infectious, diarrhea (foodborne)",A.03.01.14
0058,Other bacterial food poisoning,diarrhea_foodborne_path_staph$,foodborne diarrhea due to staphylococcal intoxication,diarrhea_foodborne,"Infectious, diarrhea (foodborne)",A.03.01.14
00581,Food poisoning due to Vibrio vulnificus,diarrhea_foodborne_path_Vibrio vulnificus$,foodborne diarrhea pathogen vibrio vulnificus,diarrhea_foodborne,"Infectious, diarrhea (foodborne)",A.03.01.14
00589,Other bacterial food poisoning,diarrhea_foodborne_path_staph$,foodborne diarrhea due to staphylococcal intoxication,diarrhea_foodborne,"Infectious, diarrhea (foodborne)",A.03.01.14
0059,"Food poisoning, unspecified",diarrhea_foodborne_path_staph$,foodborne diarrhea due to staphylococcal intoxication,diarrhea_foodborne,"Infectious, diarrhea (foodborne)",A.03.01.14
006,Amebiasis,diarrhea_amoebiasis_path_amebiasis$,diarrhea due to amoebiasis,diarrhea_amoebiasis,"Infectious, diarrhea (amoebiasis)",A.03.01.07
0060,Acute amebic dysentery without mention of abscess,diarrhea_amoebiasis_path_amebiasis$,diarrhea due to amoebiasis,diarrhea_amoebiasis,"Infectious, diarrhea (amoebiasis)",A.03.01.07
0061,Chronic intestinal amebiasis without mention of abscess,diarrhea_amoebiasis_path_amebiasis$,diarrhea due to amoebiasis,diarrhea_amoebiasis,"Infectious, diarrhea (amoebiasis)",A.03.01.07
0062,Amebic nondysenteric colitis,diarrhea_amoebiasis_path_amebiasis$,diarrhea due to amoebiasis,diarrhea_amoebiasis,"Infectious, diarrhea (amoebiasis)",A.03.01.07
0063,Amebic liver abscess,diarrhea_amoebiasis_path_amebiasis$,diarrhea due to amoebiasis,diarrhea_amoebiasis,"Infectious, diarrhea (amoebiasis)",A.03.01.07
0064,Amebic lung abscess,diarrhea_amoebiasis_path_amebiasis$,diarrhea due to amoebiasis,diarrhea_amoebiasis,"Infectious, diarrhea (amoebiasis)",A.03.01.07
0065,Amebic brain abscess,diarrhea_amoebiasis_path_amebiasis$,diarrhea due to amoebiasis,diarrhea_amoebiasis,"Infectious, diarrhea (amoebiasis)",A.03.01.07
0066,Amebic skin ulceration,diarrhea_amoebiasis_path_amebiasis$,diarrhea due to amoebiasis,diarrhea_amoebiasis,"Infectious, diarrhea (amoebiasis)",A.03.01.07
0067,Amoebic skin ulceration,diarrhea_amoebiasis_path_amebiasis$,diarrhea due to amoebiasis,diarrhea_amoebiasis,"Infectious, diarrhea (amoebiasis)",A.03.01.07
0068,Amebic infection of other sites,diarrhea_amoebiasis_path_amebiasis$,diarrhea due to amoebiasis,diarrhea_amoebiasis,"Infectious, diarrhea (amoebiasis)",A.03.01.07
0069,Amebiasis unspecified,diarrhea_amoebiasis_path_amebiasis$,diarrhea due to amoebiasis,diarrhea_amoebiasis,"Infectious, diarrhea (amoebiasis)",A.03.01.07
007,Other protozoal intestinal diseases,diarrhea_other_path_unsp$,diarrhea others pathogen non mentioned,diarrhea_other,"Infectious, diarrhea (other)",A.03.01.15
0071,Giardiasis,diarrhea_other_path_Giardiasis$,diarrhea due to giardiasis,diarrhea_other,"Infectious, diarrhea (other)",A.03.01.15
0072,Coccidiosis,diarrhea_cryptospor_path_Coccidiosis$,diarrhea due to coccidiosis,diarrhea_other,"Infectious, diarrhea (other)",A.03.01.15
0073,Intestinal trichomoniasis,diarrhea_cryptospor_path_trichomoniasis$,diarrhea due to trichomoniasis,diarrhea_other,"Infectious, diarrhea (other)",A.03.01.15
0074,Cryptosporidiosis,diarrhea_cryptospor_path_Cryptosporidiosis$,diarrhea due to cryptosporidiosis,diarrhea_cryptospor,"Infectious, diarrhea (cryptospor)",A.03.01.08
0075,Cyclosporiasis,diarrhea_other_path_Cyclosporiasis$,diarrhea due to cyclosporiasis,diarrhea_cryptospor,"Infectious, diarrhea (cryptospor)",A.03.01.08
0077,Cryptosporidiosis,diarrhea_cryptospor_path_Cryptosporidiosis$,diarrhea due to cryptosporidiosis,diarrhea_cryptospor,"Infectious, diarrhea (cryptospor)",A.03.01.08
0078,Other specified protozoal intestinal diseases,diarrhea_other_path_unsp$,diarrhea others pathogen non mentioned,diarrhea_other,"Infectious, diarrhea (other)",A.03.01.15
0079,Unspecified protozoal intestinal disease,diarrhea_other_path_unsp$,diarrhea others pathogen non mentioned,diarrhea_other,"Infectious, diarrhea (other)",A.03.01.15
008,Intestinal infections due to other organisms,diarrhea_other_path_unsp$,diarrhea others pathogen non mentioned,diarrhea_other,"Infectious, diarrhea (other)",A.03.01.15
0080,Intestinal infection due to escherichia coli [e. coli],diarrhea_epec_path_ecoli$,diarrhea due to enteropathogenic e coli,diarrhea_other,"Infectious, diarrhea (other)",A.03.01.15
00800,"Intestinal infection due to E. coli, unspecified",diarrhea_epec_path_ecoli$,diarrhea due to enteropathogenic e coli,diarrhea_other,"Infectious, diarrhea (other)",A.03.01.15
00801,Intestinal infection due to enteropathogenic E. coli,diarrhea_epec_path_ecoli$,diarrhea due to enteropathogenic e coli,diarrhea_epec,"Infectious, diarrhea (epec)",A.03.01.04
00802,Intestinal infection due to enterotoxigenic E. coli,diarrhea_etec_path_ecoli$,diarrhea due to enterotoxigenic e coli infection,diarrhea_etec,"Infectious, diarrhea (etec)",A.03.01.05
00803,Intestinal infection due to enteroinvasive E. coli,diarrhea_epec_path_ecoli$,diarrhea due to enteropathogenic e coli,diarrhea_other,"Infectious, diarrhea (other)",A.03.01.15
00804,Intestinal infection due to enterohemorrhagic E. coli,diarrhea_etec_path_ecoli$,diarrhea due to enterotoxigenic e coli infection,diarrhea_etec,"Infectious, diarrhea (etec)",A.03.01.05
00809,Intestinal infection due to other intestinal E. coli infections,diarrhea_epec_path_ecoli$,diarrhea due to enteropathogenic e coli,diarrhea_other,"Infectious, diarrhea (other)",A.03.01.15
0081,Intestinal infection due to arizona group of paracolon bacilli,diarrhea_path_ paracolon$,diarrhea due to paracolon,diarrhea_other,"Infectious, diarrhea (other)",A.03.01.15
0082,Intestinal infection due to aerobacter aerogenes,diarrhea_path_ aerobacter$,diarrhea due to aerobacter,diarrhea_other,"Infectious, diarrhea (other)",A.03.01.15
0083,Intestinal infection due to proteus (mirabilis) (morganii),diarrhea_path_ proteus$,diarrhea due to proteus,diarrhea_other,"Infectious, diarrhea (other)",A.03.01.15
0084,Intestinal infection due to other specified bacteria,diarrhea_other_path_unsp$,diarrhea others pathogen non mentioned,diarrhea_other,"Infectious, diarrhea (other)",A.03.01.15
00841,Intestinal infection due to staphylococcus,diarrhea_other_path_staph$,diarrhea due to staphylococc,diarrhea_other,"Infectious, diarrhea (other)",A.03.01.15
00842,Intestinal infection due to pseudomonas,diarrhea_other_path_ pseudomonas$,diarrhea due to pseudomonas,diarrhea_other,"Infectious, diarrhea (other)",A.03.01.15
00843,Intestinal infection due to campylobacter,diarrhea_campylobac_path_compylo$,diarrhea due to campylobacter enteritis,diarrhea_campylobac,"Infectious, diarrhea (campylobac)",A.03.01.06
00844,Intestinal infection due to yersinia enterocolitica,diarrhea_other_path_yersinia$,diarrhea due to yersinia,diarrhea_other,"Infectious, diarrhea (other)",A.03.01.15
00845,Intestinal infection due to Clostridium difficile,diarrhea_Clostridium_path_colstridium$,diarrhea due to clostridium difficile,diarrhea_clostridium,"Infectious, diarrhea (cdiff)",A.03.01.11
00846,Intestinal infection due to other anaerobes,diarrhea_other_path_unsp$,diarrhea others pathogen non mentioned,diarrhea_other,"Infectious, diarrhea (other)",A.03.01.15
00847,Intestinal infection due to other gram-negative bacteria,diarrhea_other_path_unsp$,diarrhea others pathogen non mentioned,diarrhea_other,"Infectious, diarrhea (other)",A.03.01.15
00849,Intestinal infection due to other organisms,diarrhea_other_path_unsp$,diarrhea others pathogen non mentioned,diarrhea_other,"Infectious, diarrhea (other)",A.03.01.15
0085,"Bacterial enteritis, unspecified",diarrhea_other_path_unsp$,diarrhea others pathogen non mentioned,diarrhea_other,"Infectious, diarrhea (other)",A.03.01.15
0086,Enteritis due to specified virus,diarrhea_other_path_unsp$,diarrhea others pathogen non mentioned,diarrhea_other,"Infectious, diarrhea (other)",A.03.01.15
00861,Enteritis due to rotavirus,diarrhea_rotavirus_path_rotavirus$,diarrhea due to rotavirus,diarrhea_rotavirus,"Infectious, diarrhea (rotavirus)",A.03.01.09
00862,Enteritis due to adenovirus,diarrhea_adenovirus_path_adenovirus$,diarrhea due to adenovirus,diarrhea_adenovirus,"Infectious, diarrhea (adenovirus)",A.03.01.13
00863,Enteritis due to norwalk virus,diarrhea_norovirus_path_norovirus$,diarrhea due to norovirus,diarrhea_norovirus,"Infectious, diarrhea (norovirus)",A.03.01.12
00864,Enteritis due to other small round viruses [SRV's],diarrhea_norovirus_path_SRV's$,diarrhea due to srv's,diarrhea_other,"Infectious, diarrhea (other)",A.03.01.15
00865,Enteritis due to calicivirus,diarrhea_other_path_Calicivirus$,diarrhea due to calicivirus,diarrhea_other,"Infectious, diarrhea (other)",A.03.01.15
00866,Enteritis due to astrovirus,diarrhea_other_path_Astrovirus$,diarrhea due to astrovirus,diarrhea_other,"Infectious, diarrhea (other)",A.03.01.15
00867,Enteritis due to enterovirus nec,diarrhea_other_path_unsp$,diarrhea others pathogen non mentioned,diarrhea_other,"Infectious, diarrhea (other)",A.03.01.15
00869,Enteritis due to other viral enteritis,diarrhea_other_path_unsp$,diarrhea others pathogen non mentioned,diarrhea_other,"Infectious, diarrhea (other)",A.03.01.15
0087,,diarrhea_other_path_unsp$,diarrhea others pathogen non mentioned,diarrhea_other,"Infectious, diarrhea (other)",A.03.01.15
0088,"Intestinal infection due to other organism, not elsewhere classified",diarrhea_other_path_unsp$,diarrhea others pathogen non mentioned,diarrhea_other,"Infectious, diarrhea (other)",A.03.01.15
0089,,diarrhea_other_path_unsp$,diarrhea others pathogen non mentioned,diarrhea_other,"Infectious, diarrhea (other)",A.03.01.15
009,Ill-defined intestinal infections,diarrhea_other_path_unsp$,diarrhea others pathogen non mentioned,diarrhea_other,"Infectious, diarrhea (other)",A.03.01.15
0090,"Infectious colitis, enteritis, and gastroenteritis",diarrhea_other_path_unsp$,diarrhea others pathogen non mentioned,diarrhea_other,"Infectious, diarrhea (other)",A.03.01.15
0091,"Colitis, enteritis, and gastroenteritis of presumed infectious origin",diarrhea_other_path_unsp$,diarrhea others pathogen non mentioned,diarrhea_other,"Infectious, diarrhea (other)",A.03.01.15
0092,Infectious diarrhea,diarrhea_other_path_unsp$,diarrhea others pathogen non mentioned,diarrhea_other,"Infectious, diarrhea (other)",A.03.01.15
0093,Diarrhea of presumed infectious origin,diarrhea_other_path_unsp$,diarrhea others pathogen non mentioned,diarrhea_other,"Infectious, diarrhea (other)",A.03.01.15
0094,,diarrhea_other_path_unsp$,diarrhea others pathogen non mentioned,diarrhea_other,"Infectious, diarrhea (other)",A.03.01.15
0095,,diarrhea_other_path_unsp$,diarrhea others pathogen non mentioned,diarrhea_other,"Infectious, diarrhea (other)",A.03.01.15
0096,,diarrhea_other_path_unsp$,diarrhea others pathogen non mentioned,diarrhea_other,"Infectious, diarrhea (other)",A.03.01.15
0097,,diarrhea_other_path_unsp$,diarrhea others pathogen non mentioned,diarrhea_other,"Infectious, diarrhea (other)",A.03.01.15
0098,,diarrhea_other_path_unsp$,diarrhea others pathogen non mentioned,diarrhea_other,"Infectious, diarrhea (other)",A.03.01.15
0099,,diarrhea_other_path_unsp$,diarrhea others pathogen non mentioned,diarrhea_other,"Infectious, diarrhea (other)",A.03.01.15
010,Primary tuberculous infection,tb_other_path_tb$,tuberculosis,tb_other,"Infectious, tuberculosis",A.02.01.02
0100,Primary tuberculous complex,tb_other_path_tb$,tuberculosis,tb_other,"Infectious, tuberculosis",A.02.01.02
01000,"Primary tuberculous infection, unspecified",tb_other_path_tb$,tuberculosis,tb_other,"Infectious, tuberculosis",A.02.01.02
01001,"Primary tuberculous infection, bacteriological or histological examination not done",tb_other_path_tb$,tuberculosis,tb_other,"Infectious, tuberculosis",A.02.01.02
01002,"Primary tuberculous infection, bacteriological or histological examination unknown (at present)",tb_other_path_tb$,tuberculosis,tb_other,"Infectious, tuberculosis",A.02.01.02
01003,"Primary tuberculous infection, tubercle bacilli found (in sputum) by microscopy",tb_other_path_tb$,tuberculosis,tb_other,"Infectious, tuberculosis",A.02.01.02
01004,"Primary tuberculous infection, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",tb_other_path_tb$,tuberculosis,tb_other,"Infectious, tuberculosis",A.02.01.02
01005,"Primary tuberculous infection, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",tb_other_path_tb$,tuberculosis,tb_other,"Infectious, tuberculosis",A.02.01.02
01006,"Primary tuberculous infection, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",tb_other_path_tb$,tuberculosis,tb_other,"Infectious, tuberculosis",A.02.01.02
01009,Unspecified,tb_other_path_tb$,tuberculosis,tb_other,"Infectious, tuberculosis",A.02.01.02
0101,Tuberculous pleurisy in primary progressive tuberculosis,tb_other_path_tb$,tuberculosis,tb_other,"Infectious, tuberculosis",A.02.01.02
01010,Primary tuberculous infection unspecified,tb_other_path_tb$,tuberculosis,tb_other,"Infectious, tuberculosis",A.02.01.02
01011,Primary tuberculous infection bacteriological or histological examination not done,tb_other_path_tb$,tuberculosis,tb_other,"Infectious, tuberculosis",A.02.01.02
01012,Primary tuberculous infection bacteriological or histological examination unknown (at present),tb_other_path_tb$,tuberculosis,tb_other,"Infectious, tuberculosis",A.02.01.02
01013,Primary tuberculous infection tubercle bacilli found (in sputum) by microscopy,tb_other_path_tb$,tuberculosis,tb_other,"Infectious, tuberculosis",A.02.01.02
01014,"Primary tuberculous infection tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",tb_other_path_tb$,tuberculosis,tb_other,"Infectious, tuberculosis",A.02.01.02
01015,"Primary tuberculous infection tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",tb_other_path_tb$,tuberculosis,tb_other,"Infectious, tuberculosis",A.02.01.02
01016,"Primary tuberculous infection tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",tb_other_path_tb$,tuberculosis,tb_other,"Infectious, tuberculosis",A.02.01.02
01019,Unspecified,tb_other_path_tb$,tuberculosis,tb_other,"Infectious, tuberculosis",A.02.01.02
0102,Primary tuberculous complex bacteriological or histological examination results unknown (at present),tb_other_path_tb$,tuberculosis,tb_other,"Infectious, tuberculosis",A.02.01.02
0103,Primary tuberculous complex tubercle bacilli found (in sputum) by microscopy,tb_other_path_tb$,tuberculosis,tb_other,"Infectious, tuberculosis",A.02.01.02
0104,Primary tuberculous complex tubercle bacilli not found (in sputum) by microscopy but found by bacterial culture,tb_other_path_tb$,tuberculosis,tb_other,"Infectious, tuberculosis",A.02.01.02
0105,Primary tuberculous complex tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically,tb_other_path_tb$,tuberculosis,tb_other,"Infectious, tuberculosis",A.02.01.02
0106,Primary tuberculous complex tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods inoculation of animals),tb_other_path_tb$,tuberculosis,tb_other,"Infectious, tuberculosis",A.02.01.02
0108,Other primary progressive tuberculosis,tb_other_path_tb$,tuberculosis,tb_other,"Infectious, tuberculosis",A.02.01.02
01080,Primary tuberculous infection unspecified,tb_other_path_tb$,tuberculosis,tb_other,"Infectious, tuberculosis",A.02.01.02
01081,Primary tuberculous infection bacteriological or histological examination not done,tb_other_path_tb$,tuberculosis,tb_other,"Infectious, tuberculosis",A.02.01.02
01082,Primary tuberculous infection bacteriological or histological examination unknown (at present),tb_other_path_tb$,tuberculosis,tb_other,"Infectious, tuberculosis",A.02.01.02
01083,Primary tuberculous infection tubercle bacilli found (in sputum) by microscopy,tb_other_path_tb$,tuberculosis,tb_other,"Infectious, tuberculosis",A.02.01.02
01084,"Primary tuberculous infection tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",tb_other_path_tb$,tuberculosis,tb_other,"Infectious, tuberculosis",A.02.01.02
01085,"Primary tuberculous infection tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",tb_other_path_tb$,tuberculosis,tb_other,"Infectious, tuberculosis",A.02.01.02
01086,"Primary tuberculous infection tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",tb_other_path_tb$,tuberculosis,tb_other,"Infectious, tuberculosis",A.02.01.02
01089,Unspecified,tb_other_path_tb$,tuberculosis,tb_other,"Infectious, tuberculosis",A.02.01.02
0109,Primary tuberculous infection unspecified type,tb_other_path_tb$,tuberculosis,tb_other,"Infectious, tuberculosis",A.02.01.02
01090,"Primary tuberculous infection, unspecified, unspecified",tb_other_path_tb$,tuberculosis,tb_other,"Infectious, tuberculosis",A.02.01.02
01091,"Primary tuberculous infection, unspecified, bacteriological or histological examination not done",tb_other_path_tb$,tuberculosis,tb_other,"Infectious, tuberculosis",A.02.01.02
01092,"Primary tuberculous infection, unspecified, bacteriological or histological examination unknown (at present)",tb_other_path_tb$,tuberculosis,tb_other,"Infectious, tuberculosis",A.02.01.02
01093,"Primary tuberculous infection, unspecified, tubercle bacilli found (in sputum) by microscopy",tb_other_path_tb$,tuberculosis,tb_other,"Infectious, tuberculosis",A.02.01.02
01094,"Primary tuberculous infection, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",tb_other_path_tb$,tuberculosis,tb_other,"Infectious, tuberculosis",A.02.01.02
01095,"Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",tb_other_path_tb$,tuberculosis,tb_other,"Infectious, tuberculosis",A.02.01.02
01096,"Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",tb_other_path_tb$,tuberculosis,tb_other,"Infectious, tuberculosis",A.02.01.02
01099,Unspecified,tb_other_path_tb$,tuberculosis,tb_other,"Infectious, tuberculosis",A.02.01.02
011,Pulmonary tuberculosis,tb_other_path_tb$,tuberculosis,tb_other,"Infectious, tuberculosis",A.02.01.02
0110,Tuberculosis of lung infiltrative,tb_other_path_tb$,tuberculosis,tb_other,"Infectious, tuberculosis",A.02.01.02
01100,"Tuberculosis of lung, infiltrative, unspecified",tb_other_path_tb$,tuberculosis,tb_other,"Infectious, tuberculosis",A.02.01.02
01101,"Tuberculosis of lung, infiltrative, bacteriological or histological examination not done",tb_other_path_tb$,tuberculosis,tb_other,"Infectious, tuberculosis",A.02.01.02
01102,"Tuberculosis of lung, infiltrative, bacteriological or histological examination unknown (at present)",tb_other_path_tb$,tuberculosis,tb_other,"Infectious, tuberculosis",A.02.01.02
01103,"Tuberculosis of lung, infiltrative, tubercle bacilli found (in sputum) by microscopy",tb_other_path_tb$,tuberculosis,tb_other,"Infectious, tuberculosis",A.02.01.02
01104,"Tuberculosis of lung, infiltrative, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",tb_other_path_tb$,tuberculosis,tb_other,"Infectious, tuberculosis",A.02.01.02
01105,"Tuberculosis of lung, infiltrative, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",tb_other_path_tb$,tuberculosis,tb_other,"Infectious, tuberculosis",A.02.01.02
01106,"Tuberculosis of lung, infiltrative, tubercle bacilli not found bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",tb_other_path_tb$,tuberculosis,tb_other,"Infectious, tuberculosis",A.02.01.02
01109,Unspecified,tb_other_path_tb$,tuberculosis,tb_other,"Infectious, tuberculosis",A.02.01.02
0111,Tuberculosis of lung nodular,tb_other_path_tb$,tuberculosis,tb_other,"Infectious, tuberculosis",A.02.01.02
01110,"Tuberculosis of lung, nodular, unspecified",tb_other_path_tb$,tuberculosis,tb_other,"Infectious, tuberculosis",A.02.01.02
